"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,103,yandex,cpc,freemium,21654,103,25,1654810
2023-06-01,78,yandex,cpc,prof-frontend,57138,78,12,1057000
2023-06-01,62,yandex,cpc,prof-python,33026,62,7,613196
2023-06-01,31,yandex,cpc,base-python,12524,31,7,476021
2023-06-01,71,vk,cpc,prof-python,2028,40,5,355564
2023-06-01,80,vk,cpc,freemium-frontend,3160,43,5,338083
2023-06-01,49,yandex,cpc,prof-java,29490,49,4,284590
2023-06-01,40,yandex,cpc,base-frontend,18061,40,3,268515
2023-06-01,51,vk,cpc,prof-java,3115,23,2,232726
2023-06-01,14,yandex,cpc,prof-data-analytics,10086,14,2,220264
2023-06-30,71,admitad,cpa,admitad,0,2,2,201150
2023-06-01,13,yandex,cpc,prof-professions-brand,4818,13,3,154287
2023-06-20,3,telegram,cpp,base-java,0,1,1,151192
2023-06-01,4,yandex,cpc,dod-php,5964,4,1,150255
2023-06-01,4,yandex,cpc,base-professions-retarget,151,4,1,134100
2023-06-07,3,vk,social,hexlet-blog,0,1,1,84000
2023-06-13,40,admitad,cpa,admitad,0,1,1,62000
2023-06-01,20,yandex,cpc,base-java,19252,20,1,48000
2023-06-20,43,admitad,cpa,admitad,0,3,1,45410
2023-06-01,6,yandex,cpc,dod-professions,0,6,1,37800
2023-06-01,58,vk,cpc,base-python,2537,36,1,9072
2023-06-01,44,vk,cpc,freemium-python,980,25,1,1560
2023-06-01,66,admitad,cpa,admitad,0,0,0,0
2023-06-01,49,vk,cpc,prof-data-analytics,1072,30,0,0
2023-06-01,42,vk,cpc,freemium-java,487,24,0,0
2023-06-01,38,telegram,cpp,base-python,0,0,0,0
2023-06-01,33,telegram,cpp,base-java,0,0,0,0
2023-06-01,17,vk,cpc,prof-frontend,0,7,0,0
2023-06-01,11,tproger,cpc,dod-frontend,0,0,0,0
2023-06-01,10,vk,cpm,prof-data-analytics,385,6,0,0
2023-06-01,10,yandex,cpc,prof-professions-retarget,1714,10,0,0
2023-06-01,8,vk-senler,cpc,freemium,0,0,0,0
2023-06-01,8,zen,social,hexlet-blog,0,0,0,0
2023-06-01,7,zen,social,prof-frontend,0,0,0,0
2023-06-01,5,telegram,cpp,base-frontend,0,0,0,0
2023-06-01,4,yandex,cpc,dod-java,2906,4,0,0
2023-06-01,4,zen,social,prof-backend,0,0,0,0
2023-06-01,3,google,cpc,frontend,0,0,0,0
2023-06-01,3,telegram,cpp,dod-php,0,0,0,0
2023-06-01,3,telegram,social,course_completed,0,0,0,0
2023-06-01,3,vk,cpp,dod-php,0,0,0,0
2023-06-01,3,yandex,cpc,dod-python-java,0,3,0,0
2023-06-01,3,yandex,cpc,dod-frontend,2871,3,0,0
2023-06-01,2,telegram,cpp,dod-java,0,0,0,0
2023-06-01,2,vk,cpp,intensive-python,0,0,0,0
2023-06-01,1,Yandex,cpc,"03997128",0,0,0,0
2023-06-01,1,Yandex,cpm,"01097402",0,0,0,0
2023-06-01,1,telegram,social,mdtrue*studenty-mnogih-onlayn-kursov-p,0,0,0,0
2023-06-01,1,telegram,cpp,prof-python,0,1,0,0
2023-06-01,1,telegram,cpp,prof-php,0,0,0,0
2023-06-01,1,telegram,cpp,intensive-python,0,0,0,0
2023-06-01,1,twitter,social,promo,0,0,0,0
2023-06-01,1,twitter,social,devushki_v_it,0,0,0,0
2023-06-01,1,twitter,social,hexlet-blog,0,0,0,0
2023-06-01,1,twitter.com,social,buffer,0,0,0,0
2023-06-01,1,vc,cpp,dod-php,0,0,0,0
2023-06-01,1,vk,social,hexlet.io/my,0,0,0,0
2023-06-01,1,vk,social,all-courses,0,0,0,0
2023-06-01,1,vk,social,course_completed,0,0,0,0
2023-06-01,1,vk,social,general,0,0,0,0
2023-06-01,1,vk,social,hexlet-blog,0,0,0,0
2023-06-01,1,vk-senler,cpc,base-frontend,0,0,0,0
2023-06-02,240,vk,cpc,prof-python,2032,0,0,0
2023-06-02,216,vk,cpc,prof-java,2783,0,0,0
2023-06-02,207,vk,cpc,freemium-frontend,2538,0,0,0
2023-06-02,178,vk,cpc,prof-data-analytics,4060,0,0,0
2023-06-02,163,vk,cpc,freemium-java,2536,0,0,0
2023-06-02,143,vk,cpc,freemium-python,1739,0,0,0
2023-06-02,133,vk,cpc,base-python,2536,0,0,0
2023-06-02,120,vk,cpc,prof-frontend,0,0,0,0
2023-06-02,55,tproger,cpc,dod-frontend,0,0,0,0
2023-06-02,54,admitad,cpa,admitad,0,0,0,0
2023-06-02,23,telegram,cpp,base-java,0,0,0,0
2023-06-02,14,vk,cpm,prof-data-analytics,0,0,0,0
2023-06-02,11,telegram,cpp,base-python,0,0,0,0
2023-06-02,10,telegram,cpp,dod-java,0,0,0,0
2023-06-02,9,telegram,cpp,dod-php,0,0,0,0
2023-06-02,9,vk-senler,cpc,freemium,0,0,0,0
2023-06-02,5,zen,social,hexlet-blog,0,0,0,0
2023-06-02,4,vk,cpm,prof-frontend,0,0,0,0
2023-06-02,3,zen,social,prof-frontend,0,0,0,0
2023-06-02,3,zen,social,promo,0,0,0,0
2023-06-02,2,telegram,cpp,prof-frontend,0,1,0,0
2023-06-02,2,twitter,social,devushki_v_it,0,0,0,0
2023-06-02,2,vk,social,hexlet-blog,0,0,0,0
2023-06-02,2,vk,cpp,dod-php,0,0,0,0
2023-06-02,1,botmother,tg,frontend,0,0,0,0
2023-06-02,1,facebook,cpm,freemium-en,0,0,0,0
2023-06-02,1,partners,cpc,prof-python,0,0,0,0
2023-06-02,1,telegram,cpp,prof-python,0,0,0,0
2023-06-02,1,telegram,social,course_completed,0,0,0,0
2023-06-02,1,telegram,cpp,base-frontend,0,0,0,0
2023-06-02,1,tg,social,newdirections,0,0,0,0
2023-06-02,1,twitter,social,my-to--chto-my-skrollim-kak-programmistu,0,0,0,0
2023-06-02,1,vc,cpp,dod-php,0,0,0,0
2023-06-02,1,vk,cpc,freemium,0,0,0,0
2023-06-02,1,vk,social,base-python,0,0,0,0
2023-06-02,1,vk,social,all-courses,0,0,0,0
2023-06-02,1,vk,cpp,base-frontend,0,0,0,0
2023-06-02,1,yandex-direct,cpm,"00788899",0,0,0,0
2023-06-02,1,yandex-direct,cpc,"34668848",0,0,0,0
2023-06-03,211,vk,cpc,freemium-frontend,2539,0,0,0
2023-06-03,207,tproger,cpc,dod-frontend,0,0,0,0
2023-06-03,204,vk,cpc,prof-python,2023,0,0,0
2023-06-03,198,vk,cpc,prof-java,2774,0,0,0
2023-06-03,172,vk,cpc,prof-data-analytics,3974,0,0,0
2023-06-03,148,vk,cpc,freemium-java,2656,0,0,0
2023-06-03,122,vk,cpc,freemium-python,1390,0,0,0
2023-06-03,122,vk,cpc,prof-frontend,0,0,0,0
2023-06-03,101,vk,cpc,base-python,2997,0,0,0
2023-06-03,43,admitad,cpa,admitad,0,0,0,0
2023-06-03,16,vk-senler,cpc,freemium,0,1,0,0
2023-06-03,12,telegram,cpp,base-python,0,0,0,0
2023-06-03,12,vk,cpm,prof-data-analytics,0,0,0,0
2023-06-03,9,zen,social,promo,0,0,0,0
2023-06-03,6,telegram,cpp,base-frontend,0,0,0,0
2023-06-03,3,vk,cpm,prof-frontend,0,0,0,0
2023-06-03,3,vk,cpp,dod-php,0,0,0,0
2023-06-03,2,google,cpc,frontend,0,0,0,0
2023-06-03,2,telegram,cpp,base-java,0,0,0,0
2023-06-03,2,telegram,social,course_completed,0,0,0,0
2023-06-03,2,telegram,cpp,prof-frontend,0,0,0,0
2023-06-03,2,vk,social,hexlet-blog,0,0,0,0
2023-06-03,1,Yandex,cpc,"59988739",0,0,0,0
2023-06-03,1,Yandex,cpc,"02284027",0,0,0,0
2023-06-03,1,Yandex,cpm,"94599791",0,0,0,0
2023-06-03,1,admitad,cpa,"442763",0,0,0,0
2023-06-03,1,facebook,cpm,freemium-en,0,0,0,0
2023-06-03,1,telegram,social,base-java,0,0,0,0
2023-06-03,1,telegram,cpp,prof-python,0,0,0,0
2023-06-03,1,telegram,cpp,prof-java,0,0,0,0
2023-06-03,1,telegram,cpp,dod-java,0,0,0,0
2023-06-03,1,twitter,social,course_completed,0,0,0,0
2023-06-03,1,vc,cpp,dod-frontend,0,0,0,0
2023-06-03,1,vk,social,promo,0,0,0,0
2023-06-03,1,vk,social,base-frontend,0,0,0,0
2023-06-03,1,vk,cpm,java,0,0,0,0
2023-06-03,1,yandex-direct,cpc,"16645437",0,0,0,0
2023-06-03,1,zen,social,all-courses,0,0,0,0
2023-06-04,224,vk,cpc,freemium-frontend,2538,0,0,0
2023-06-04,213,vk,cpc,prof-python,2032,0,0,0
2023-06-04,188,vk,cpc,prof-java,1627,0,0,0
2023-06-04,156,tproger,cpc,dod-frontend,0,0,0,0
2023-06-04,150,vk,cpc,freemium-java,1566,0,0,0
2023-06-04,145,vk,cpc,base-python,2537,0,0,0
2023-06-04,132,vk,cpc,prof-data-analytics,3740,0,0,0
2023-06-04,130,vk,cpc,freemium-python,1305,0,0,0
2023-06-04,113,vk,cpc,prof-frontend,0,0,0,0
2023-06-04,47,telegram,cpp,base-python,0,0,0,0
2023-06-04,31,admitad,cpa,admitad,0,1,0,0
2023-06-04,24,vk,cpm,prof-data-analytics,701,0,0,0
2023-06-04,11,vk,cpm,prof-frontend,0,0,0,0
2023-06-04,10,telegram,cpp,base-frontend,0,0,0,0
2023-06-04,9,telegram,cpp,base-java,0,0,0,0
2023-06-04,8,vk-senler,cpc,freemium,0,0,0,0
2023-06-04,4,vk,social,hexlet-blog,0,0,0,0
2023-06-04,3,telegram,cpp,prof-python,0,0,0,0
2023-06-04,2,vk,social,general,0,0,0,0
2023-06-04,2,vk,cpp,dod-php,0,0,0,0
2023-06-04,1,Yandex,cpc,"55670133",0,0,0,0
2023-06-04,1,admitad,cpc,"183258",0,0,0,0
2023-06-04,1,dzen,social,dzen_post,0,0,0,0
2023-06-04,1,instagram,social,prof-php,0,0,0,0
2023-06-04,1,telegram,social,hexlet-blog,0,0,0,0
2023-06-04,1,telegram,cpp,prof-frontend,0,0,0,0
2023-06-04,1,telegram,cpp,dod-java,0,1,0,0
2023-06-04,1,telegram,social,special,0,0,0,0
2023-06-04,1,telegram,social,mdtruena-hekslete-poyavilsya-esche-odin-no,0,0,0,0
2023-06-04,1,telegram,cpp,intensive-python,0,0,0,0
2023-06-04,1,twitter,social,promo,0,0,0,0
2023-06-04,1,twitter,social,hexlet-blog,0,0,0,0
2023-06-04,1,twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,0,0,0,0
2023-06-04,1,vk,social,all-courses,0,0,0,0
2023-06-04,1,vk,cpc,php,0,0,0,0
2023-06-04,1,vk,social,course_completed,0,0,0,0
2023-06-04,1,vk,social,prof-qa,0,0,0,0
2023-06-04,1,zen,social,promo,0,0,0,0
2023-06-05,192,vk,cpc,freemium-frontend,2538,0,0,0
2023-06-05,191,vk,cpc,prof-java,2022,0,0,0
2023-06-05,182,vk,cpc,prof-python,5077,0,0,0
2023-06-05,154,vk,cpc,prof-data-analytics,3048,0,0,0
2023-06-05,138,vk,cpc,freemium-java,397,0,0,0
2023-06-05,138,vk,cpc,freemium-python,1118,0,0,0
2023-06-05,124,vk,cpc,base-python,1980,0,0,0
2023-06-05,110,vk,cpc,prof-frontend,0,0,0,0
2023-06-05,49,tproger,cpc,dod-frontend,0,0,0,0
2023-06-05,38,admitad,cpa,admitad,0,0,0,0
2023-06-05,31,telegram,cpp,base-python,0,0,0,0
2023-06-05,29,telegram,cpp,base-frontend,0,0,0,0
2023-06-05,23,vk,cpm,prof-data-analytics,761,0,0,0
2023-06-05,19,telegram,cpp,base-java,0,0,0,0
2023-06-05,12,vk-senler,cpc,dod-php,0,0,0,0
2023-06-05,5,telegram,cpp,dod-java,0,0,0,0
2023-06-05,5,vk,cpp,dod-php,0,1,0,0
2023-06-05,4,telegram,social,hexlet-blog,0,0,0,0
2023-06-05,4,telegram,cpp,prof-java,0,0,0,0
2023-06-05,4,vk,social,base-python,0,0,0,0
2023-06-05,4,vk-senler,cpc,freemium,0,0,0,0
2023-06-05,3,vk,social,base-java,0,0,0,0
2023-06-05,3,vk,cpm,prof-frontend,0,0,0,0
